Marke,Modell,Beschreibung,Gewicht
Saurer,5DM D1KL / Jg. 1971,"4500 mm Radstand, Kipper",8600
Saurer,M4 / Jg. 1954,,4250
Scania,TGB30 / SBA111,"nur Fahrgestell, nur Rahmen mit Winde",6960
Scania,143H450,"Fernfahrerhaus, Fahrgestell 8700 mm, Radstand 4800 mm, Pritsche ohne Bordwände, leerer Tank",9200
Steyr,680 MF,"2-Achs mit DoKa. Original 5520 kg (mit Pritsche), Minimal 4700 kg (ohne Pritsche, ohne Hilfsrahmen, ohne Reserverad)",5520
Steyr,680 ÖBH,"2-Achser, ohne Pritsche, Ersatzrad …",4200
Steyr,A680g,"2-Achs, mit Orig.-Pritsche, ohne Plane, mit Ersatzrad, mit Winde, ohne Diesel",5340
Steyr,680g,"Fahrgestell mit Seilwinde und Reifen 14,5R20 und Zusatztank",5200
Steyr,12M18,"nur Fahrgestell, o. Ersatzrad/-Halter, mit Dachgepäckträger, 20 l Diesel, selbst gewogen",5200
Steyr,12M18,"nur Fahrgestell, Ersatzrad, ohne Pritsche, ca. 100 l Diesel",5240
Steyr,12M18,"nur Fahrgestell ohne Pritsche mit Winde, ab",5900
Steyr,12S21,"nur Fahrgestell mit Seilwinde, ohne Ersatzrad, fast leerer Tank",5350
Steyr,991.200,"mit 300 l Diesel, 14.00 auf Stahlfelgen und dem Reservereifen",7500
Steyr,1491.310,mit Pritsche und Halbkoffer und 4x 14.00 Reservereifen,12500
Steyr,Pinzgauer 712M,"mit Rüstkoffer, reisefertig mit allerlei Gerödel ohne Personen",3250
